comments	status
Wow Loved place	1
Crust not good	0
Not tasty texture just nasty	0
Stopped by during late May bank holiday Rick Steve recommendation loved it	1
selection menu great so were prices	1
Now am getting angry want damn pho	0
Honeslty didn't taste THAT fresh)	0
potatoes were like rubber could tell they been made ahead time being kept under warmer	0
fries were great too	1
A great touch	1
Service prompt	1
Would not back	0
cashier no care what so ever what say still ended being way overpriced	0
tried Cape Cod ravoli chickenwith cranberrym 	1
disgusted because pretty sure  human hair	0
shocked because no signs indicate cash only	0
Highly recommended	1
Waitress little slow service	0
place not worth your time let alone Vegas	0
did not like all	0
Burrittos Blah 	0
food amazing	1
Service also cute	1
could care less interior just beautiful	1
So they performed	1
That's rightthe red velvet cakeohhh stuff so good	1
They never brought salad asked for	0
hole wall great Mexican street tacos friendly staff	1
Took hour get our food only 4 tables restaurant food Luke warm Our sever running around like totally overwhelmed	0
worst salmon sashimi	0
Also combos like burger fries beer 23 which decent deal	1
was like final blow 	0
found place by accident could not happier	1
seems like good quick place grab bite some familiar pub food but do yourself favor look elsewhere	0
Overall like place lot	1
only redeeming quality restaurant  inexpensive	1
Ample portions good prices	1
Poor service waiter made feel like stupid every time came table	0
My first visit Hiro delight 	1
Service sucks	0
shrimp tender moist	1
There not deal good enough  would drag  establishment again	0
Hard judge whether sides were good because were grossed by melted styrofoam didn't want eat fear getting sick	0
On positive note our server attentive provided great service	1
Frozen pucks disgust some worst people behind register	0
only thing like prime rib dessert section	1
bad food so damn generic	0
burger good beef cooked just right	1
If want sandwich just any Firehouse     	1
My side Greek salad Greek dressing so tasty pita hummus refreshing	1
We ordered duck rare pink tender inside nice char outside	1
He came running after us realized husband left his sunglasses table	1
Their chow mein so good 	1
They horrible attitudes towards customers talk down customers don't enjoy their food	0
portion huge 	1
Loved itfriendly servers great food wonderful imaginative menu	1
Heart Attack Grill downtown Vegas absolutely flat-lined excuse restaurant	0
Not much seafood like 5 strings pasta bottom	0
salad just right amount sauce not over power scallop which perfectly cooked	1
ripped banana not only ripped but petrified tasteless	0
At least think refill water before struggle wave over 10 minutes	0
place receives stars their APPETIZERS   	1
cocktails handmade delicious	1
We'd definitely back here again	1
We so glad found place	1
Great food service huge portions they give military discount	1
Always great time Dos Gringos 	1
Updatewent back second time still just amazing	1
We got food apparently they never heard salt batter fish chewy	0
A great way finish great	1
deal included 5 tastings 2 drinks Jeff went above beyond what expected	1
Really really good rice time	1
service meh	0
took over 30 min get their milkshake which nothing more chocolate milk	0
guess should known  place would suck because inside Excalibur but didn't use common sense	0
scallop dish quite appalling value well	0
2 times Bad Customer Service  	0
sweet potato fries were good seasoned well	1
