comments	status
So there is no way me plug it in here in US unless I go by converter	0
Good case Excellent value	1
Great jawbone	1
Tied charger conversations lasting more than 45 minutesMAJOR PROBLEMS	0
mic is great	1
I have jiggle plug get it line up right get decent volume	0
If you have several dozen or several hundred contacts imagine fun of sending each of them one by one	0
If you are Razr owner you must have this	1
Needless say I wasted my money	0
What waste of money and time	0
And sound quality is great	1
He was very impressed when going from original battery extended battery	1
If two were seperated by mere 5+ ft I started notice excessive static and garbled sound from headset	0
Very good quality though	1
design is very odd as ear "clip" is not very comfortable at all	0
Highly recommend any one who has blue tooth phone	1
I advise EVERYONE DO NOT BE FOOLED	0
So Far So Good	1
Works great	1
It clicks into place in way that makes you wonder how long that mechanism would last	0
I went Motorola's website and followed all directions but could not get it pair again	0
I bought this use with my Kindle Fire and absolutely loved it	1
commercials are most misleading	0
I have yet run this new battery below two bars and that's three days without charging	1
I bought it my mother and she had problem with battery	0
Great Pocket PC / phone combination	1
I've owned this phone 7 months now and can say that it's best mobile phone I've had	1
I didn't think that instructions provided were helpful me	0
People couldnt hear me talk and I had pull out earphone and talk phone	0
Doesn't hold charge	0
This is simple little phone use but breakage is unacceptible	0
This product is ideal people like me whose ears are very sensitive	1
It is unusable in moving car at freeway speed	0
I have two more years left in this contract and I hate this phone	0
Car charger as well as AC charger are included make sure you never run out of juiceHighy recommended	1
You need at least 3 mins get your phone book from time you first turn phoneBattery life is short	0
It has kept up very well	1
Poor Talk Time Performance	0
case is great and works fine with 680	1
worthless product	0
It has great camera thats 2MP and pics are nice and clear with great picture quality	1
I was not impressed by this product	0
Nice headset priced right	1
I only hear garbage audio	0
Excellent bluetooth headset	1
It has all features I want	1
Who in their right mind is gonna buy this battery?	0
AFTER ARGUING WITH VERIZON REGARDING DROPPED CALLS WE RETURNED PHONES AFTER TWO DAYS	0
This case seems well made	1
Disappointed with battery	0
Not loud enough and doesn't turn like it should	0
good protection and does not make phone too bulky	1
A usable keyboard actually turns PDA into real-world useful machine instead of just neat gadget	1
This phone is pretty sturdy and I've never had any large problems with it	1
I love this thing	1
Everything about it is fine and reasonable price ie	1
VERY DISAPPOINTED	0
I even dropped this phone into stream and it was submerged 15 seconds and it still works great	1
I have been very happy with 510 and have had NO complaints from any one regarding my sound quality their end	1
buttons and off are bad	0
Essentially you can forget Microsoft's tech support	0
I really recommend this faceplates since it looks very nice elegant and cool	1
These headphones were great find - and I think they are perhaps best purchase I've made in last several years - seriously	1
Buy different phone - but not this	0
You have hold phone at particular angle other party hear you clearly	0
one big drawback of MP3 player is that buttons phone's front cover that let you pause and skip songs lock out after few seconds	0
A week later after I activated it it suddenly died	0
It feels more comfortable than most headsets because I wear glasses and that gets in way sometimes	1
Great iPODs too	1
This device is great in several situations:1	1
Mic Doesn't work	0
Even in my BMW 3 series which is fairly quiet I have trouble hearing what other person is saying	0
Great choice	1
Nice docking station home or work	1
This is beautiful phone	1
Love this product	1
Do Not Buy D807wrongly advertised D807	0
This is great little item	1
I love this phone  It is very handy and has lot of features 	1
I purchased this and within 2 days it was no longer working	0
I wear it everyday and it holds up very well	1
Not good bargain	0
Well packaged arrived time and works as intended	1
battery runs down quickly	0
This item worked great but it broke after 6 months of use	0
headsets are easy use and everyone loves them	1
This phone works great	1
construction of headsets is poor	0
Product was excellent and works better than verizon one and Boy was it cheaper	1
phone loads super	1
For product that costs as much as this one does I expect it work far better and with greater ease than this thing does	0
Made very sturdy	1
Worked great	1
ear buds only play music in one ear	0
Dont waste your money	0
Will order from them again	1
If you plan use this in car forget about it	0
I found this product be waaay too big	0
Best I've found so far  I've tried 2 other bluetooths and this one has best quality both me and listener as well as ease of using	1
I'm very disappointed with my decision	0
Integrated seamlessly with Motorola RAZR phone	1
Buyer Beware you could flush money right down toilet	0
Definitely bargain	1
price was very good and with free shipping and all it was good purchase	1
I received my supposedly new motorola 375 and apparently there was not match between phone and charger	0
Pros:-Good camera - very nice pictures  also has cool styles like black and white and more	1
That's huge design flaw unless I'm not using it correctly which I don't think is case	0
I love my 350 headset My Jabra350 bluetooth headset is great reception is very good and ear piece is comfortable fit	1
camera although rated at an impressive 13 megapixels renders images that fall well below expectations of such relatively high resolution	0
I purcashed this car charger and it does not work	0
Sound quality both end is excellent I use headset call my wife and ask my wife use headset call me 2	1
This phone is slim and light and display is beautiful	1
its little geeky but i think thats its sex toast and it rocks and oozes sex right down its battery embedded sleek stylish leather case	1
Great product fast shipping	1
Absolutely great	1
keyboard is nice compromise between full QWERTY and basic cell phone number keypad	1
i got this phone around end of may and i'm completely unhappy with it	0
It is very comfortable ear	1
It has been winner us	1
Setup couldn't have been simpler	1
I've tried several different earpieces my cell phone and this Jabra one is first one I've found that fits my ear comfortably	1
Could not get strong enough signal	0
Iam very pleased with my purchase	1
Bad Quality	0
Gets job done	1
Great audio	1
Basically service was very bad	0
it did not work in my cell phone plug i am very up set with charger	0
I've only had my bluetooth few weeks but I really like it	1
BT headset was such disapoinment	0
It is so small and you don't even realize that it is there after while of getting used it	1
accompanied software is almost brilliant	1
Headset works great & was packaged nicely avoid any damage	1
I definitly recommend	1
Buyer--Be Very Careful	0
majority of Logitech earbud headsets failed	0
Very good stuff price	1
My headset works just peachy-keen	1
In my house I was getting dropped coverage upstairs and no coverage in my basement	0
Voice recognition is tremendous	1
What waste	0
During several different 2 minute calls I experienced 5 drops and it was in an area that had 5 bars	0
I was not happy with this item	0
very disappointed	0
phone takes FOREVER charge like 2 5 hours literally	0
I got this phone reccomendation from relative and I'm glad I did	1
What waste of time	0
Its reception is very very poor	0
Items stated as included from description ARE NOT INCLUDED	0
After 3 months screen just went black all of sudden	0
I Was Hoping More	0
Audio Quality is poor very poor	0
I had absolutely no problem with this headset linking my 8530 Blackberry Curve	1
I know that sounds funny but me it seemed like sketchy technology that wouldn't work wellWell this one works great	1
I've bought $5 wired headphones that sound better than these	0
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used	1
Nice quality build unlike some cheap s*** out there	1
This item is fantastic and works perfectly	1
And I just love colors	1
W810i is just SUPERB	1
All I can do is whine Internet so here it goesmore I use thing less I like it	0
Great charger	1
This is essentially communications tool that does not communicate	0
Works like charm; it work same as one I got with phone	1
I still maintain that monkeys shouldn't make headphones we just obviously don't share enough DNA copy design over humans	0
Great Value	1
Doesn't work at all I bougth it my L7c and its not working	0
look of it is very sharp and screen is nice and clear with great graphics	1
doesn't last long	0
One thing I hate is mode set button at side	0
EXCELLENT SERVICE	1
Thank you wasting my money	0
How can that be?audio quality is poor	0
iGo chargers and tips are really great	1
file browser offers all options that one needsHandsfree is great	1
Superb Phone Great Network	1
I connected my wife's bluetooth Motorola HS850 my phone and it worked like charm whether phone was in my pocket or case	1
I put latest OS it v115g and it now likes slow crawl and lock up every once in while	0
It only recognizes Phone as its storage device	0
If you like loud buzzing override all your conversations this phone is you	0
Don't buy this product	0
I've had this bluetoooth headset some time now and still not comfortable with way it fits ear	0
sound quality is good and functionality is awesome	1
I have this phone and it is thorn in my side I really abhor it	0
I recently had problems where I could not stay connected more than 10 minutes before being disconnected	0
Incredible	1
Design Flaw?	0
Great phone	1
Waste of 13 bucks	0
But when I check voice mail at night keypad backlight turns off few seconds into first message and I'm lost	0
replacement died in few weeks	0
Any ring toneOverall good phone buy	1
Lately they have been extremely nice and helpful phone	1
I have had problems wit hit dropping signal and more	0
Not impressed	0
Light weight I hardly notice it is there	1
You'll love how thin it is	1
Bad Choice	0
pleather case doesn't fit	0
useless phone simply deaf	0
color is even prettier than I thought it would be and graphics are incredibly sharp	1
All in all I think it was good investment	1
It makes very strange ticking noises before it ends call	0
best electronics of available FM Transmitters	1
Battery lasts only few hours	0
great headset very impressed - H500	1
"12" mega pixel camera being part of phone is reasonably good7	1
I've had this nearly 2 years and it has worked great me	1
Good transmit audio	1
We are sending it back	0
I did not bother contacting company few dollar product but I learned lesson that I should not have bought this form online anyway	0
If you hate earbugs avoid this phone by all means	0
Great price also	1
range is very decent I've been able roam around my house with phone in living room with no reception/sound quality issues	1
fast service	1
I would highly recommend this	1
I would recommend this	1
I also didn't like "on" button it felt like it would crack with use	0
