comentarios	status
wow loved this place	1
crust is not good	0
not tasty and the texture was just nasty	0
stopped by during the late may bank holiday off rick steve recommendation and loved it	1
the selection on the menu was great and so were the prices	1
now i am getting angry and i want my damn pho	0
honeslty it didnt taste that fresh	0
the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer	0
the fries were great too	1
a great touch	1
service was very prompt	1
would not go back	0
the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced	0
i tried the cape cod ravoli chickenwith cranberrymmmm	1
i was disgusted because i was pretty sure that was human hair	0
i was shocked because no signs indicate cash only	0
highly recommended	1
waitress was a little slow in service	0
this place is not worth your time let alone vegas	0
did not like at all	0
the burrittos blah	0
the food amazing	1
service is also cute	1
i could care less the interior is just beautiful	1
so they performed	1
thats rightthe red velvet cakeohhh this stuff is so good	1
 they never brought a salad we asked for	0
this hole in the wall has great mexican street tacos and friendly staff	1
took an hour to get our food only 4 tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed	0
the worst was the salmon sashimi	0
also there are combos like a burger fries and beer for 23 which is a decent deal	1
this was like the final blow	0
i found this place by accident and i could not be happier	1
seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere	0
overall i like this place a lot	1
the only redeeming quality of the restaurant was that it was very inexpensive	1
ample portions and good prices	1
poor service the waiter made me feel like i was stupid every time he came to the table	0
my first visit to hiro was a delight	1
service sucks	0
the shrimp tender and moist	1
there is not a deal good enough that would drag me into that establishment again	0
hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick	0
on a positive note our server was very attentive and provided great service	1
frozen pucks of disgust with some of the worst people behind the register	0
the only thing i did like was the prime rib and dessert section	1
its too bad the food is so damn generic	0
the burger is good beef cooked just right	1
if you want a sandwich just go to any firehouse	1
my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing	1
we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside	1
he came running after us when he realized my husband had left his sunglasses on the table	1
their chow mein is so good	1
they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food	0
the portion was huge	1
loved itfriendly servers great food wonderful and imaginative menu	1
the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant	0
not much seafood and like 5 strings of pasta at the bottom	0
the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked	1
the ripped banana was not only ripped but petrified and tasteless	0
at least think to refill my water before i struggle to wave you over for 10 minutes	0
this place receives stars for their appetizers	1
the cocktails are all handmade and delicious	1
wed definitely go back here again	1
we are so glad we found this place	1
great food and service huge portions and they give a military discount	1
always a great time at dos gringos	1
updatewent back for a second time and it was still just as amazing	1
we got the food and apparently they have never heard of salt and the batter on the fish was chewy	0
a great way to finish a great	1
the deal included 5 tastings and 2 drinks and jeff went above and beyond what we expected	1
 really really good rice all the time	1
the service was meh	0
it took over 30 min to get their milkshake which was nothing more than chocolate milk	0
i guess i should have known that this place would suck because it is inside of the excalibur but i didnt use my common sense	0
the scallop dish is quite appalling for value as well	0
2 times  very bad customer service 	0
the sweet potato fries were very good and seasoned well	1
today is the second time ive been to their lunch buffet and it was pretty good	1
there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company	0
coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up	0
walked in and the place smelled like an old grease trap and only 2 others there eating	0
the turkey and roast beef were bland	0
this place has it	1
the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old	0
i love the pho and the spring rolls oh so yummy you have to try	1
the poor batter to meat ratio made the chicken tenders very unsatisfying	0
all i have to say is the food was amazing	1
omelets are to die for	1
everything was fresh and delicious	1
in summary this was a largely disappointing dining experience	0
its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party	1
never been to hard rock casino before will never ever step forward in it again	0
best breakfast buffet	1
say bye bye to your tip lady	0
well never go again	0
will be back again	1
food arrived quickly	1
it was not good	0
on the up side their cafe serves really good food	1
our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go	1
the only good thing was our waiter he was very helpful and kept the bloddy marys coming	1
best buffet in town for the price you cannot beat it	1
i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious	1
this is one of the better buffets that i have been to	1
so we went to tigerlilly and had a fantastic afternoon	1
the food was delicious our bartender was attentive and personable and we got a great deal	1
the ambience is wonderful and there is music playing	1
will go back next trip out	1
sooooo good	1
real sushi lovers lets be honest  yama is not that good	0
at least 40min passed in between us ordering and the food arriving and it wasnt that busy	0
this is a really fantastic thai restaurant which is definitely worth a visit	1
nice spicy and tender	1
good prices	1
check it out	1
it was pretty gross	0
ive had better atmosphere	0
kind of hard to mess up a steak but they did	0
although i very much liked the look and sound of this place the actual experience was a bit disappointing	0
i just dont know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine	0
worst service to boot but that is the least of their worries	0
service was fine and the waitress was friendly	1
the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten	1
